rank|score|token_id|name|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style|link
1198|634.471682935666|1693|Genesis Kami #1693|Mahogany|Silver berserker|Cream|Pink gangsta|Bondage pharoh|Black feather|Blue gum|Gold opera kamen|Brownish orange kpop 1|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1693
1199|634.3623052170324|1517|Genesis Kami #1517|Silver|Berserker blade|Black|Green satan|Purple cape|nail|Haha|Red mekakushi|Gray harajuku|Silver red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1517
1200|634.3022155754801|399|Genesis Kami #399|Slate purple fire ghost|Gray scythe|Black|White aggressive|Purple cape|Silver triple ring right|Blue gum|None|Red disheveled|Black devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/399
1201|634.3015643124451|1653|Genesis Kami #1653|Umber|None|Black|White aggressive|Black shirt|Gold dot|Rose|Red opera kamen|Gray oppa|White magic hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1653
1202|634.2635774387338|1432|Genesis Kami #1432|Immortal galaxy sakura|Red scythe|Cream|Gray demon|Black fur|Gold double ring right 1|Mild smile|Round glasses small|Red slick hair|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1432
1203|634.2145424999111|1593|Genesis Kami #1593|Hickory|Silver buster sword|Cream|Black determined|Red fur|Gold double ring right 1|Blue gum|Gold cyberpunk glasses|Purple madara|White devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1593
1204|634.1690601019267|5456|Genesis Kami #5456|Coin sakura|Berserker blade|Cream|Sky blue grievous|Red white kimono|Purple white fluffy|Smile|Houtai nose|Gray ikemen|Oni mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5456
1205|633.9924712158363|3243|Genesis Kami #3243|Coin black red thunder|Red wand|Brown|Green gentle|White fur|Gold chain|Blue gum|Round glasses small|Red slick hair|Black devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3243
1206|633.8642136009025|2895|Genesis Kami #2895|Flint black purple thunder|None|White|Pink gentle|Red black kimono|Gold ring 2|Smile|Black kamen|Mint cornrow braids|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2895
1207|633.6760248127571|3423|Genesis Kami #3423|Rosewood|Red wand|Cream|Yellow cold|White fur|nail|Smirk|Houtai cheek|Black shonen|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3423
