rank|score|token_id|name|aura|weapon|body|eye|clothes|accessory_ear|mouth|accessory_face|hair|headgear|style|link
2216|564.899133635492|3606|Genesis Kami #3606|Colud blue kaminari|Katana 2|White|Sky blue strained|Gold kimono|Silver ring 3|Smile|Houtai both cheek|White under cut|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3606
2217|564.831150831091|1696|Genesis Kami #1696|Lavender|Gray scythe|Cream|White grievous|Red turtle|Gold short long|Rose|Blue cyberpunk glasses|Black slick hair|Gold sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1696
2218|564.8278845829659|5094|Genesis Kami #5094|Sandstone|Gray scythe|White|Purple satan|Red tribal|Gold feather|Neutral|Houtai cheek|White long hair|Anubis ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5094
2219|564.8189107289788|4204|Genesis Kami #4204|Porpoise forest fairy|Spear|Cream|Green determined|Black white kimono|Sky blue feather|Neutral|Houtai cheek left|Purple kpop 1|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4204
2220|564.7469918298733|820|Genesis Kami #820|Sandstone|Katana 2|Cream|White grievous|Red onmyoji|Gold ring 1|Haha|Mommy mask|Brownish orange wuxia|Brownish orange cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/820
2221|564.6825699124137|3848|Genesis Kami #3848|Sky|Silver berserker|White|Black good boy|Red father|Silver double ring right 1|Cigar|Gold cyberpunk glasses|Red cornrow braids|Gold purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3848
2222|564.6495511155038|2389|Genesis Kami #2389|Sky|None|White|Sky blue determined|Black gold samurai|Silver four ring right|Gritted|None|Black nippon|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2389
2223|564.6243094867856|1662|Genesis Kami #1662|Sandstone|Spear|Cream|White angry eyes|White fur|Gold dot|Purple rose|Gold opera kamen|Purple oppa|Black devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1662
2224|564.5358458548276|872|Genesis Kami #872|Fossil kase|Silver berserker|White|Yellow determined|Bondage pharoh|Gold spear|Rose|Houtai cheek|Gray japan bangs|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/872
2225|564.5318831188504|170|Genesis Kami #170|Black fire|Berserker blade|White|Sky blue satan|Black kimono|Black white fluffy|Mild smile|Rimless|Brown japan bangs|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/170
2226|564.4668831259314|2190|Genesis Kami #2190|Hazel wood dry leaves|None|Cream|Green gentle|Light gray fur|Silver ring 3|Neutral|None|Black shonen|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2190
2227|564.4067634269236|1798|Genesis Kami #1798|Silver|Spear|Cream|White grievous|Red white kimono|None|Haha|Round glasses big|Red kpop 1|White baby cat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1798
2228|564.3826144269209|4062|Genesis Kami #4062|Wood|None|Brown|Sky blue gentle|Black white kimono|White black fluffy|Black rose|Round glasses small|Black under cut|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4062
2229|564.279536422668|1521|Genesis Kami #1521|Black fire|Katana 2|Brown|Pink cold|Red onmyoji|Gold fan|Blue rose|Black mekakushi|Brownish orange slick hair|Black kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1521
2230|564.2575204039425|2955|Genesis Kami #2955|Wood|None|White|Pink angry eyes|Bondage pharoh|Silver double long right|Haha|White kamen|Mint under cut|Black baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2955
2231|564.2180827192088|3202|Genesis Kami #3202|Blizzard|Berserker blade|Black|Purple satan|Red onmyoji|Red black fluffy|Smile|Houtai both cheek|Mint long hair|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3202
2232|564.2015195576676|3713|Genesis Kami #3713|Pine|Spear|Black|White determined|Black kimono|Black spear|Pink gum|Round glasses big|Red disheveled|White kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3713
2233|564.1914133280762|4089|Genesis Kami #4089|Fossil blue fire ghost|Katana 2|White|Red vampire|White onmyoji|Red feather|Smile with teeth|Houtai cheek & nose|Mint japan bangs|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4089
2234|564.1752308103587|5148|Genesis Kami #5148|Hickory|Purple scythe|White|Black gentle|Black white clown|Silver triple ring right|Smirk|Houtai nose|Red wuxia|Black cat ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5148
2235|564.0843076222443|576|Genesis Kami #576|Lavender|Katana 2|White|White gentle|Gray binbo|White skull|Neutral|Houtai cheek left|Red kpop 1|Kitsune mask|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/576
2236|564.0751762448598|798|Genesis Kami #798|Porpoise|Purple scythe|Black|Red good boy|Gray turtle|Silver triple ring right|Mild smile|Blue sunglasses|White nippon|Black devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/798
2237|564.0014316044889|305|Genesis Kami #305|Fossil kase|Gold berserker|White|Purple good boy|Orange tribal|Silver chain|Black rose|White opera kamen|Brown japan bangs|Gold baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/305
2238|563.9633903856145|3327|Genesis Kami #3327|Shadow|None|Cream|Red good boy|White black clown|Silver skull|Neutral|Black demon mask|Black japan bangs|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3327
2239|563.952453849837|2970|Genesis Kami #2970|Blizzard night|Spear|White|Pink gangsta|White ronin|White black fluffy|Gritted|Black kamen|Mint long hair|Black tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2970
2240|563.9331831015635|787|Genesis Kami #787|Pewter|None|White|White good boy|Purple tribal|Black spear|Smile|White kamen|Brown kpop 1|Black baby dragon|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/787
2241|563.8678999404577|2998|Genesis Kami #2998|Wood|Red scythe|White|Sky blue grievous|Red tribal|Silver skull|Mild smile|Black mekakushi|Red cornrow braids|Silver purple imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2998
2242|563.8259874533861|2311|Genesis Kami #2311|Fossil blue fire ghost|Brush|Cream|Green strained|Red white kimono|Gold ring 1|Rose|Houtai cheek left|Brownish orange oppa|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2311
2243|563.772059197072|2792|Genesis Kami #2792|Blush|Katana 2|Brown|Sky blue grievous|Gray bondage|Silver four ring right|Knife|Houtai all|Black under cut|Noumen|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2792
2244|563.5475400933133|3562|Genesis Kami #3562|Oat|Spear|Cream|Purple satan|Black white purple kimono|None|Mild smile|Mommy mask|Gray cornrow braids|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3562
2245|563.5298308911019|2287|Genesis Kami #2287|Coin|Katana 2|Brown|Green good boy|White ronin|Silver ring 1|Gritted|Houtai cheek & nose|Gray wuxia|White kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2287
2246|563.5261835324698|2198|Genesis Kami #2198|Pewter|Purple wand|White|Green satan|Purple cape|Black feather|Neutral|Blue sunglasses|White nippon|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2198
2247|563.5229481570645|619|Genesis Kami #619|Olive|Red wand|Brown|Pink cold|Purple gangster suit|Silver skull|Smirk|Black demon mask|Red shonen|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/619
2248|563.5011541044269|3964|Genesis Kami #3964|Pine|Red scythe|White|Black angry eyes|White fur|Gold triple ring right|Angry|White kamen|Mint harajuku|Black kitsune ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3964
2249|563.4980047382876|2814|Genesis Kami #2814|Hazelnut|None|White|White good boy|Purple turtle|Gold short long|Pink gum|Black mekakushi|White japan bangs|Gold red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2814
2250|563.4041516575039|2030|Genesis Kami #2030|Sandstone|Katana 2|Titanium|Sky blue determined|Purple black hood|Gold ring 2|Gritted|Black opera kamen|Purple ikemen|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2030
2251|563.3786058804711|2407|Genesis Kami #2407|Porpoise water fairy|None|White|Purple grievous|Green cyberpunk suit|Silver double ring right 2|Rose|Black danzo mekakushi|Mint nippon|Black cat ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2407
2252|563.2710754490557|3049|Genesis Kami #3049|Colud blue kaminari|Red scythe|Brown|Green good boy|White wing angel|Silver spear|Blue rose|None|Gray disheveled|Anubis ears|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3049
2253|563.2310334031827|1612|Genesis Kami #1612|Blush|Red wand|White|Black determined|Orange tribal|Silver triple ring right|Gritted|White opera kamen|Purple wuxia|Black devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1612
2254|563.227464387216|3925|Genesis Kami #3925|Mahogany|Purple wand|White|Red vampire|Orange tribal|Gold double ring right 2|Smile|Bandage nose|Black cornrow braids|Red devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3925
2255|563.2257632117055|2863|Genesis Kami #2863|Blush|Katana 1|Cream|Green demon|Black white purple kimono|Gold fan|White rose|Houtai both cheek|Brown harajuku|Black cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2863
2256|563.1839147613944|2905|Genesis Kami #2905|Lead water fairy|Purple wand|White|Sky blue cold|Purple turtle|Silver double long right|Neutral|None|Gold nippon|Silver red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2905
2257|563.1402565820124|183|Genesis Kami #183|Porpoise|Katana 2|Cream|Green aggressive|White father|Silver short long|Neutral|Bandage cheek|Purple kpop 1|White cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/183
2258|563.0174249841302|2894|Genesis Kami #2894|Red fire|Gray scythe|Brown|Black grievous|White lord|Gold dot|Purple rose|Bandage cheek & nose|Purple cornrow braids|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2894
2259|562.8765312589567|2556|Genesis Kami #2556|Olive|Purple wand|Cream|Sky blue strained|Red turtle|Gold double long right|Green gum|Black kamen|Brown ikemen|Silver red imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2556
2260|562.8503286562898|2921|Genesis Kami #2921|Fossil blue fire ghost|Gray scythe|White|Red aggressive|Orange cyberpunk suit|Gold dot|Green gum|None|Gray shonen|Gold satan horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2921
2261|562.8019554465328|4120|Genesis Kami #4120|Sandstone maple leaf|Gold buster sword|White|Purple good boy|Purple wizard|None|Angry|Houtai cheek|Red harajuku|Gold sky blue imperial crown s|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4120
2262|562.7091848772232|4285|Genesis Kami #4285|Hickory|Gray scythe|White|Pink gentle|Black gold clown|Gold feather|Haha|None|Red kpop 1|White devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4285
2263|562.6995206826574|5192|Genesis Kami #5192|Shadow|None|Brown|Yellow aggressive|Purple turtle|Gold double ring right 2|Green gum|Gold opera kamen|Gray harajuku|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5192
2264|562.6847598790093|3893|Genesis Kami #3893|Sandstone|Purple wand|Cream|Black cold|Red cape|Gold double long right|Haha|Bandage cheek & nose|Gold wuxia|Angel ring|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3893
2265|562.6281156251742|3854|Genesis Kami #3854|Porpoise|None|Titanium|Green good boy|White angel|Silver double long right|Mild smile|None|Gray wuxia|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3854
2266|562.5853791710391|2007|Genesis Kami #2007|Blizzard night|None|Cream|Yellow cold|Light gray fur|Silver ring 3|Cigar|Red mekakushi|Brownish orange ikemen|Black cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2007
2267|562.5443630435122|1217|Genesis Kami #1217|Fossil purple fire ghost|Katana 2|White|Sky blue good boy|Black red kimono|Gold double long right|Mild smile|Mekakushi houtai|Gray disheveled|White baby cat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1217
2268|562.4820835233239|1364|Genesis Kami #1364|Pewter|None|Brown|Pink grievous|Black cape|Silver ring 3|White rose|Round glasses big|Red nippon|Sadly mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1364
2269|562.4525569052522|4843|Genesis Kami #4843|Colud blue kaminari|None|White|Pink good boy|Black fur|Silver double ring right 1|Blue rose|Round glasses small|Gold nippon|White magic hat|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4843
2270|562.4395172938249|2981|Genesis Kami #2981|Blizzard night|Berserker blade|Cream|Green grievous|White red kimono|Purple black fluffy|Angry|Round glasses small|Mint disheveled|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2981
2271|562.4225885782913|262|Genesis Kami #262|Fossil kase|Katana 1|Cream|Sky blue grievous|White ninja|Black red kss hanafuda|Haha|Black kamen|White ikemen|Gray tengu|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/262
2272|562.370618483368|5124|Genesis Kami #5124|Fossil blue fire ghost|Red wand|Cream|White angry eyes|Green cyberpunk suit|Gold ring 2|Neutral|Houtai cheek|Purple slick hair|Black minotaur horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/5124
2273|562.2692947096663|4732|Genesis Kami #4732|Mahogany|None|Cream|Yellow aggressive|Blue binbo|Silver double long right|Mild smile|Black demon mask|Purple shonen|White kitsune ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4732
2274|562.2296986135653|1336|Genesis Kami #1336|Lead fire fairy|Red scythe|Brown|Red determined|Red father|Silver chain|Smile with teeth|None|Brown under cut|Red devil horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1336
2275|562.1990222155788|4501|Genesis Kami #4501|Sandstone|Red scythe|White|Yellow grievous|Blue hood|Gold double long right|Rose|Houtai cheek|Brownish orange disheveled|Joker mask|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4501
2276|562.190589633799|1442|Genesis Kami #1442|Coin|Gold berserker|Gray|Red angry eyes|Black white clown|Gold double ring right 2|Blue gum|White kamen|White disheveled|Gold sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1442
2277|562.1477260246131|2248|Genesis Kami #2248|Olive|Berserker blade|White|Red vampire|Blue priest|Red feather|Cigar|Houtai cheek & nose|Brown harajuku|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2248
2278|562.1242664290031|2771|Genesis Kami #2771|Coin|Spear|Cream|Yellow strained|White priest|Black white fluffy|Smile with teeth|Rimless|Brown disheveled|Black baby cat|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2771
2279|562.0279044668073|3017|Genesis Kami #3017|Sky|Gray scythe|Cream|Pink gangsta|Black gangster suit|Gold chain|Smirk|Houtai nose|Mint madara|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3017
2280|561.9895474527233|2085|Genesis Kami #2085|Fossil purple fire ghost|Shikigami|White|Black grievous|White ronin|Gold triple ring right|Smile|Black mekakushi|Red nippon|Black cat ears|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2085
2281|561.8956749011296|4911|Genesis Kami #4911|Fossil blue fire ghost|Purple wand|Black|Black determined|Red white clown|Silver skull|Smile|Green cyberpunk glasses|Gold under cut|None|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4911
2282|561.846178926789|3654|Genesis Kami #3654|Teal kase|Purple wand|White|Black determined|Blue cyberpunk suit|Gold feather|Rose|Black opera kamen|Black slick hair|Silver sky blue imperial crown|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/3654
2283|561.8247367356927|2189|Genesis Kami #2189|Blush|None|White|White aggressive|Blue fur|Silver double ring right 1|Cigar|Bandage cheek|Brownish orange harajuku|White devil horn|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2189
2284|561.7498958576683|270|Genesis Kami #270|Umber|None|Gray|Purple angry eyes|Black hood|Silver ring 1|Angry|Megane|Brown slick hair|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/270
2285|561.749428116251|2327|Genesis Kami #2327|Cyberpunk system|None|Cream|Black angry eyes|White father|Silver ring 3|Neutral|Bandage nose|White madara|Angel ring|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2327
2286|561.7016203835028|4722|Genesis Kami #4722|Blizzard night|Spear|Cream|Sky blue good boy|Blue priest|Yellow fan|Gritted|None|Black ikemen|None|ancient|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4722
2287|561.6603661438734|2979|Genesis Kami #2979|Coin black red thunder|Red wand|Cream|Purple angry eyes|Black gold pimp|Black spear|White rose|Red cyberpunk glasses|Red nippon|None|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/2979
2288|561.6045602776923|4141|Genesis Kami #4141|Lead water fairy|Silver berserker|White|Yellow aggressive|White lord|Silver double long right|Smile with teeth|Blue cyberpunk glasses|Brownish orange nippon|Gold baphomet horn|fantasy|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/4141
2289|561.530722533794|1238|Genesis Kami #1238|Porpoise|Purple wand|Cream|Gray demon|Red wizard|Gold ring 2|Angry|Blue sunglasses|Gold wuxia|Black cat ears|present|https://quixotic.io/asset/0xb91b2276bd5A98994Bf1f496E3886f688f8d4581/1238
