rank|name|score|link|Background|Body|Tattoo|Nose|Mouth|Eyes|On eyes|Clothes|Accessorie|Head|Smokes
96|Oliens #290|298.85964387310975|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/289|dark purple back |pickle green ||funny nose |joker mouth|cute eyes ||deep green vintage shirt ||braid unicorn |
97|Oliens #2120|298.82654695255826|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2119|orange to purple |raw umber ||bignose |wide mouth|cute eyes shining ||jedi robe ||braid caramel|
98|Oliens #818|298.8018776409985|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/817|desert|light gray ||nose2 |wild mouth |tierd eyes sinning |sun glasses |black suit & red tie ||oxblood cowboyhat |
99|Oliens #953|297.75588864666713|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/952|red drapes |pale lime yellow ||funny nose |wild mouth |tierd eyes sinning ||jedi robe ||green mohak|
100|Oliens #1250|297.14685099127774|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1249|jungle |dark brown ||funny nose |wide mouth|punky eyes |purple fire glasses |triditional robe |silver ring |red mohak |
101|Oliens #1940|296.78514473341846|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1939|stary sky|light skin ||nose2 |closed mouth |sus eyes||orange vintage shirt ||head band |
102|Oliens #2104|295.2119394433908|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2103|anarchist |green |will i ever go home tattoo |nose2 |wide mouth|bored eyes |sun glasses |purple and green shirt ||short wavy hair |cigarette 
103|Oliens #944|293.7742089881764|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/943|light blue |sun burn white skin ||nose2 |wondering mouth |Oeyes shiny ||purple and green shirt |gold ring|red mohak |
104|Oliens #2084|292.02375005455986|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2083|stary sky|pale lime yellow ||Onose |wide mouth|joker eyes ||simple green Tshirt ||braid caramel|cigarette 
105|Oliens #1788|291.6855075999202|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1787|brown and blue |dark brown ||Onose |wild mouth |joker eyes ||red suit ||braid unicorn |
106|Oliens #330|290.0340831201513|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/329|orange to purple |dark brown ||Onose |wondering mouth |punky eyes ||black suit & red tie ||braid ocean blue |
107|Oliens #2035|289.7297460584938|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2034|red drapes |raw umber |will i ever go home tattoo |Onose |wondering mouth |cool eyes ||jedi robe ||braid caramel|
108|Oliens #774|288.55375308414966|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/773|black and purple |gray bluish ||Onose |wild mouth |tierd eyes ||black suit & red tie ||oxblood cowboyhat |
109|Oliens #1518|286.84598464061844|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1517|purple back |bunrt umber ||funny nose |wild mouth |joker eyes ||under shirt ||braid caramel|
110|Oliens #1664|285.89955710080466|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1663|desert night |sky blue body ||nose2 |open mouth |cool eyes |eyepatch|blue bathrobe ||black long hair |
111|Oliens #1270|285.78994675670486|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1269|cosmos black back |sun burn white skin |fuck off tattoo |big fat nose |wondering mouth |cool eyes ||fancy dress||red mohak |blunt 
112|Oliens #1378|285.02483999217725|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1377|glittery night sky |pale lime yellow ||big fat nose |wide mouth|sus eyes||black suit & red tie ||orange long hair |
113|Oliens #295|284.26821833236187|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/294|summer |sun burn white skin ||big fat nose |joker mouth|cool eyes ||purple vintage shirt ||green mohak|
114|Oliens #696|283.0920329499338|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/695|cosmos black back |pale lime yellow |tear tattoo |bignose |open mouth |tierd eyes |pink fire glaasses |pink shirt with a line ||bald |
115|Oliens #861|282.91868971559205|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/860|orange |pink ||Onose |wild mouth |joker eyes ||under shirt ||braid cherry |
116|Oliens #671|282.37010735772935|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/670|420 am |raw umber ||bignose |wide mouth|cool eyes ||fancy dress||braid cherry |
117|Oliens #1682|281.60350071188367|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1681|anarchist |gray bluish ||wierd nose |joker mouth|Oeyes ||under shirt ||white long hair |
118|Oliens #577|281.32532788052544|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/576|dark purple back |pale lime yellow ||wierd nose |small lips|sus eyes|eyepatch|light pink cowboy shirt |bitcoin necklce|bald |
119|Oliens #1790|280.9488404518957|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1789|blackhole |light skin |tear tattoo |Onose |wondering mouth |Oeyes shiny ||triditional robe ||braid black|
120|Oliens #2001|279.70942918123785|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2000|blackhole |light virdian ||nose2 |wondering mouth |cool eyes |sun glasses |jedi robe ||joker hair |
121|Oliens #1004|278.8806333649052|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1003|black and purple |raw umber ||Onose |wide mouth|tierd eyes ||purple and green shirt ||white long hair |
122|Oliens #906|277.38112565053444|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/905|stary sky|sun burn white skin ||Onose |wondering mouth |punky eyes |eyepatch|orange shirt with a line ||long braid black |
123|Oliens #2145|277.1873924604526|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/2144|dark purple back |bunrt umber ||wierd nose |wild mouth |tierd eyes |eyepatch|simple green Tshirt |gold ring|mohak|
124|Oliens #1255|276.1259588449187|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1254|red drapes |pickle green ||big fat nose |small lips|tierd eyes sinning ||black suit & red tie ||bald |
125|Oliens #1309|275.8182361927861|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/1308|desert night |light gray ||big fat nose |wide mouth|bored eyes |eyepatch|green vintage shirt ||long braid black |
126|Oliens #181|275.5961095759179|https://quixotic.io/asset/0x69a68eb548A37ee475D9f89646945588558796D1/180|light blue |sun burn white skin ||wierd nose |open mouth |bruised eye |purple fire glasses |simple gray vintage shirt ||black long hair |
