rank|score|token_id|name|background|body|clothes|eyewear|head|mouth|link
189|157.37622583534738|3|Nerd Ape Dao #3|Blue|Gray|Judo|Round Glasses|Rasta hat|Gold Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/3
190|157.35552426375955|1212|Nerd Ape Dao #1212|Yellow|Red|Tech jacket|Red|Propeller cap|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1212
191|157.2154681965599|746|Nerd Ape Dao #746|Blue|Tiger|Adventure|Rainbow|Rose headscarf|Cigar|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/746
192|156.98693268828976|553|Nerd Ape Dao #553|Red|Black|Blue vest|Black Nerd|None|Candy|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/553
193|156.98570264572058|879|Nerd Ape Dao #879|Beige|Pink|Brown coat|ETH|Apple|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/879
194|156.92372203207938|726|Nerd Ape Dao #726|Light purple|Tiger|Adventure|Rainbow|Adventure hat|Gum|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/726
195|156.88487722145462|276|Nerd Ape Dao #276|Light purple|Dark brown|Sheriff|Heart|None|Grin|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/276
196|156.5785136409253|204|Nerd Ape Dao #204|Beige|Water|Judo|Eyepatch|Red bob|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/204
197|156.51180893409997|102|Nerd Ape Dao #102|Yellow|Dark brown|Brown jacket|Angry|Black top hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/102
198|156.49411976164544|1133|Nerd Ape Dao #1133|Green mint|Robot|Flower Hawaii|Red|Gold hair|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1133
199|156.22449757666922|1113|Nerd Ape Dao #1113|Beige|Cream|Black turtleneck|Heart|Fastfood|420|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1113
200|156.04823162754275|672|Nerd Ape Dao #672|Light purple|Gold|Flower Hawaii|ETH|Pink beanie|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/672
201|155.95945936355784|748|Nerd Ape Dao #748|Green mint|Light brown|Lab|Dizzy|Blue cap|Pipe|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/748
202|155.65482433353296|492|Nerd Ape Dao #492|Blue|Robot|White fur|White Round|None|Sneaky|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/492
203|155.4418768900595|990|Nerd Ape Dao #990|Yellow|Zombie|Flower Hawaii|Wide_eyes|Pink bucket|Cigarette|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/990
204|155.42570027922844|1094|Nerd Ape Dao #1094|Beige|Dark brown|Pirate|Angry|Blue headscarf|Grillz|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1094
205|155.146170146235|1285|Nerd Ape Dao #1285|Light purple|Cream|Dark blue suit|Shy|Gold crown|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1285
206|155.04625269818843|335|Nerd Ape Dao #335|Yellow|Light brown|Black turtleneck|Sleepy|White bucket hat|Close|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/335
207|154.94703919174506|728|Nerd Ape Dao #728|Red|White|Black hoodie|3D|None|Burger|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/728
