rank|📈|name|score|link|background|body|clothes|eyewear|head|mouth
80|🔵|Nerd Ape Dao #711|182.37380536723893|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/711|Blue|White|Black vest|Red Beam|Adventure hat|Pipe
81|🟢+2|Nerd Ape Dao #305|181.27272516999295|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/305|Light purple|Gray|Red tee|Solar_beam|Red bob|Gold Grillz
82|🔴-1|Nerd Ape Dao #1159|181.0438342189722|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1159|Blue|White|Pirate|Rainbow|Pink bucket|Close
83|🟢+1|Nerd Ape Dao #97|180.5807976963899|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/97|Beige|Zombie|Rasta hawaii|Solar_beam|Rasta hat|Sneaky
84|🟢+5|Nerd Ape Dao #424|180.3992672354781|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/424|Green mint|Zombie|Black sleeveless|Rainbow|Rasta hat|Grin
85|🟢+3|Nerd Ape Dao #58|180.39698928509208|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/58|Yellow|Dark brown|Dark blue suit|Rainbow|Red bob|Pipe
86|🟢+1|Nerd Ape Dao #165|180.3395571953167|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/165|Pink|Pink|Black suit|Rainbow|Newsboy cap|Mouchet
87|🔴-10|Nerd Ape Dao #974|180.0692962199925|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/974|Green mint|Water|Brown jacket|Gold|Pirate hat|Gold Grillz
88|🔴-2|Nerd Ape Dao #29|179.28945840808066|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/29|Red|Gray|Tech jacket|ETH|None|Pipe
89|🔴-14|Nerd Ape Dao #259|179.24277787693964|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/259|Pink|Cream|Black vest|Half Robot|Staw hat|Cigarette
90|🟢+1|Nerd Ape Dao #760|178.6788665585709|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/760|Light purple|Red|Brown vest|Solar_beam|Black beanie|Cigar
91|🟢+2|Nerd Ape Dao #212|177.93559348001202|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/212|Yellow|Cream|Overalls|Red Beam|Adventure hat|420
92|🔴-2|Nerd Ape Dao #557|177.4808020381669|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/557|Blue|Water|Brown jacket|Red|Rasta hat|Candy
93|🔴-11|Nerd Ape Dao #877|177.36097806659328|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/877|Light purple|Cream|Pink hoodie|Half Robot|Green beret|Burger
94|🟢+1|Nerd Ape Dao #1339|177.2895657185673|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1339|Red|Pink|Brown coat|Solar_beam|Cowboy hat|Tongue_out
95|🟢+1|Nerd Ape Dao #537|176.50028857183966|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/537|Beige|Water|Pirate|Solar_beam|Black beanie|Cigarette
96|🔴-11|Nerd Ape Dao #1104|176.40157290774818|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1104|Red|Dark brown|Dark blue suit|Half Robot|Blue cap|Gold Grillz
97|🔵|Nerd Ape Dao #132|175.9675185576627|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/132|Blue|Pink|White shirt ribbon|Rainbow|Green beret|Burger
98|🔴-6|Nerd Ape Dao #1200|175.42077095858025|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/1200|Red|Zombie|Tech jacket|Eyepatch|None|Sneaky
99|🟢+2|Nerd Ape Dao #907|174.99164891704217|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/907|Light purple|Tiger|Flower Hawaii|White Round|Gold crown|Candy
100|🔴-1|Nerd Ape Dao #929|174.7436360903547|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/929|Green mint|Black|Brown coat|Solar_beam|Staw hat|Pipe
101|🔴-1|Nerd Ape Dao #656|174.47394447348094|https://quixotic.io/asset/0x824BB1f0438A38Ea424e19171eF6665A4bCCe3A5/656|Pink|Dark brown|Red tee|Red Beam|Adventure hat|Gum
